uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:hm7uqivketbldzdptu4xobmq/app.bsky.feed.post/3lrghwkqjpk26,bafyreibzgqspugzwea73indvbjeugfybbje2dxnnt2hemjpljz7aoyc7ly,darleneryan.bsky.social,Darlene Ryan 🇨🇦,"Join me in urging your MP, the Public @Safety_Canada Minister, the @CanadianPM and the @MinJusticeEn to protect our rights and stop C-2, the dangerous border bill. Thanks! 

nwmd.social/s/twitter/4A... #cdnpoli #Canada",,,,0,0,0,0,2025-06-12T17:43:55Z,NA,NA,NA,,,,,
at://did:plc:qx3ghdjpn2th35lsmes7wo5h/app.bsky.feed.post/3lrghvfxlm222,bafyreiblbs3rckbsak3tm6cdb7l6gq6aqvtyx4rnob4tdvye2ug327wlwu,wallacehorswill.bsky.social,KevinWallaceHorswill (he/him),"""Action4Canada"" has already proven itself to be public enemy #1 for all Canadians who believe in freedom, dignity, inclusion, and peace for everyone, including queer people.

#cdnpoli",,,,0,1,4,0,2025-06-12T17:43:14Z,NA,NA,at://did:plc:4xqt7t2zph634drigtdxdmro/app.bsky.feed.post/3lrg6llwkoc2c,,,,,
at://did:plc:t4qjao6o2xfwavfc5ewwvosg/app.bsky.feed.post/3lrghqy6e722e,bafyreie2upvwogi3e5ixpdj67fo6m62bfhlw6g6d5l6bjbh7m5unjbheby,pqpolitics.bsky.social,Pete Quily,"Charlie Angus calling out TixTox loving narcissist Jagmeet Singh

The NDP became a party that was “very focused on TikTok likes,” Angus said.

“I’m sure that helps, but TikTok didn’t get us elected.”

www.timminspress.com/news/we-lost... #cdnpoli",,,,0,0,3,0,2025-06-12T17:40:47Z,NA,NA,NA,,,,,
at://did:plc:zpqoxjziyvu5vkx6xnkkzjra/app.bsky.feed.post/3lrghpzaqa22u,bafyreibfqukbdib4wcbf4sy5ridzok2zia633ivefpl3escdm6aoshto6a,marilynp.bsky.social,Marilyn Porter 🇨🇦,"“Is this the conduct we want of our national heroes and sports celebrities when they're behind closed doors?”
Lawyer Robert Talach’s question is for every parent, coach, fan, and league.
Is there a culture problem in hockey? We already know the answer.
#HockeyCanada #cdnpoli #SportsCulture #CANmedia",,,,0,1,2,0,2025-06-12T17:40:23Z,NA,NA,NA,,,,,
at://did:plc:deej5pakczvmljahhvrridlp/app.bsky.feed.post/3lrghnr7xcc2h,bafyreig3n3bgkpdismpepvhjhrflucraphwtkahnphg6udcowqvuspr3bq,pat112.bsky.social,Pat,"Gay and Catholic: How this couple reconciles their faith with their sexual identity, or 

How to a hypocrite of the first order,as you are what you support.

#Cdnpoli #LGBTQ
www.cbc.ca/news/canada/...",,,,0,1,1,0,2025-06-12T17:38:59Z,NA,NA,NA,,,,,
at://did:plc:v3eup4rzroyniw2x7bmsdzgt/app.bsky.feed.post/3lrghnkjupk2n,bafyreicf5xrqz7iueglf5pbu7eaqp6kdbhyqhvj5le6peqwmaqgk64oo24,spudislander45.bsky.social,Spudislander45 🇨🇦❤️🌎💪🫡,"Leonardo Rizzuto, alleged head of #MontrealMafia, arrested in major police operation #cdnpoli #MontrealMob #

www.ctvnews.ca/montreal/on-...",,,,0,4,23,0,2025-06-12T17:38:51Z,NA,NA,NA,,,,,
at://did:plc:g4fft3gvotq6xyt4stn4vzmd/app.bsky.feed.post/3lrghlwsnsn2c,bafyreiduvkxuujwtc7ace7c5hh3e4uzbrfzoypm2wuwqyhpuso332gwcei,borderconnect.com,BorderConnect,"🚨 Over 10% of Canada’s TFW program violations come from the trucking industry—most fines go unpaid. Calls grow for a full overhaul. Ethical fleets show it can work.

Read the full story here 🔗 zurl.co/w4l11 

#trucking #TFW #cdnpoli",,,,0,0,0,0,2025-06-12T17:37:56Z,NA,NA,NA,,,,,
at://did:plc:t4qjao6o2xfwavfc5ewwvosg/app.bsky.feed.post/3lrghjua2a22e,bafyreiegw4rrr3eqhvr6y6culs6vqz7wl7hjk5dlvejoetlx45jqt47ama,pqpolitics.bsky.social,Pete Quily,"“The election was a disaster, unmitigated disaster, for the NDP,” Charlie Angus

“I feel two things: One is that people feel that the party lost touch by becoming very much a leader-focused group, as opposed to the New Democratic Party of Canada

www.timminspress.com/news/we-lost... #cdnpoli",,,,0,0,0,0,2025-06-12T17:36:50Z,NA,NA,NA,,,,,
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lrghcwke7p2a,bafyreig3qqhiyrk7v33o2r5dx4l3urpf2eqokes54ybj7yahgfgqlfjxv4,lalegault.bsky.social,LA Legault 🍁,"I’m not sure how people’s argument that Carney is “better than the alternative” when the alternative lost his seat is a flex. Poilievre is irrelevant and using him as a boogie man to justify Carney’s love for dictators & atrocity is non-sensical. He is using your fear to govern poorly
#cdnpoli",,,,4,11,36,0,2025-06-12T17:32:54Z,NA,NA,NA,,,,,
at://did:plc:v56ktfojqiopikz6oft54lnc/app.bsky.feed.post/3lrghcvrq3s2l,bafyreifo6fzbtnewrzqhu747x4iy2mzu66npzoft6o4ni6kxh425zvnori,aslamrana.bsky.social,Aslam Rana,"This Saturday the @Ticats will kick off their season against Saskatchewan Roughriders. I wish them a fantastic season! 

Go Ticats go! 🟡⚫️

#cdnpoli #canada #HamOnt",,,,0,0,0,0,2025-06-12T17:32:54Z,NA,NA,NA,,,,,
