uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,bookmark_count,indexed_at,created_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:2y6fbrqvdjlgelv5dtefeoz3/app.bsky.feed.post/3mv3qa3kaf226,bafyreiftxvjoaogx5ybyoscqyyabtznglz6gq5cgabhpqfvnbqhcw3vvxa,playandscribe.bsky.social,Playandscribe 🇨🇦🪕🎸,"There will be no Mark Carney for the Conservatives. The #CPC needs to change their leadership, but more importantly the party has to decide what they actually stand for before they can become government. Now is their best opportunity to get their shit together and find a real leader. #cdnpoli",,,,0,1,1,0,0,2026-09-09T14:20:04Z,2026-09-09T14:20:03Z,NA,NA,NA,,,,,
at://did:plc:lanvmgthztbuwa3ieqcrzsys/app.bsky.feed.post/3mv3q6nywls2h,bafyreielr2gfemis2n7x5mdoj7peq7lkldird6ypsfcyhcky66pnm2d2mq,hab3261.bsky.social,Hazel B. 🇨🇦,"Hello Canada and Alberta, this is how I voted in the October referendum. I voted by special ballot (mail-in).

specialballot.elections.ab.ca/index/8400
Must apply before Sept 25th 

(Image made in Photoshop, feel free to reuse)
 #abpoli #cdnpoli #ableg",,,,0,1,0,0,0,2026-09-09T14:19:17Z,2026-09-09T14:19:15Z,NA,NA,NA,,,,,
at://did:plc:3btfn3oxbccmycfvbdxhzjry/app.bsky.feed.post/3mv3pknm5yr2v,bafyreic3hhf5vcxnjpgub6govm4i7tnoxyt543tw6mqim2kf5t4ygesega,genomecanada.ca,Genome Canada,"Canada’s natural resource sectors face major climate and competitive pressures. Genomics can help. 🌲🌊

Our Key Insights Report outlines the data infrastructure Canada needs to pair genomics with AI and secure our resources. ⤵️

🔗 https://bit.ly/4bROwtc

#Genomics #AI #CdnPoli #Environment",,,,0,0,0,0,0,2026-09-09T14:08:04Z,2026-09-09T14:08:04Z,NA,NA,NA,,,,,
at://did:plc:z4chll7ppkzcaearqfhpnczq/app.bsky.feed.post/3mv3pin4sp227,bafyreigh2jxxrw75gpqgpuozldzmukaswejzzvdwjdy27jil3gztbcf7gq,modernmaven.bsky.social,Modern Maven,"Protect, at all costs. Vote Trump and his circus out. Restore justice in America, rewrite history and remove his name - or call it the Brain Fart Years - and move forward with integrity, facts, and the strong and intelligent must prevail and lead. #weakestlinkattop #cdnpoli #uspoli #journalism",,,,0,2,1,0,1,2026-09-09T14:06:59Z,2026-09-09T14:06:56Z,NA,NA,NA,,,,,
at://did:plc:wmctz5oyov27gk5qy5s74yes/app.bsky.feed.post/3mv3pfvvqak23,bafyreidshp3twwrkp5nzpanhm3ppndusok2motbvawhcg55xnrll3n2tzu,naturesasylum.bsky.social,NATURES ASYLUM  🇨🇦,"Canadians haven't even hit the penalty box yet.
🤭🇨🇦
#elbowsup 
#cdnpoli",,,,0,0,0,0,0,2026-09-09T14:05:26Z,2026-09-09T14:05:25Z,NA,NA,NA,,,,,
at://did:plc:abt5tpb7lqr7vopkrkwfswwq/app.bsky.feed.post/3mv3p6mahrk2x,bafyreieczzjofkqlq4fxujo2snwz5e3faehfna2jnlis5kxn2o7g4mfnma,canadareport.org,Canada Report,"Autisme et déficiences intellectuelles | L’hébergement alternatif, véritable chemin de croix

Canada’s fastest news scan: 25+ headlines, no clutter, updated all day: CanadaReport.org

#cdnpoli #Canada #News 
Read Original Article 🔗",,,,0,0,0,0,0,2026-09-09T14:01:20Z,NA,NA,NA,NA,,,,,
at://did:plc:nrxglljv7jqagwqawmxf7sv5/app.bsky.feed.post/3mv3p4prteo2w,bafyreigr2ecmwdr6terjaoeoil4mmto5txmrznt7tsvhssarp234zsyqfi,researchmoney.bsky.social,Research Money,"Canada’s innovation ecosystem is full of potential - from AI and quantum to clean energy and life sciences. But turning strength into growth means busting old myths and building better pathways to scale.

Read more here: zurl.co/0k3Sa 

#cdnpoli #innovation #AI #cdnecon",,,,0,0,0,0,0,2026-09-09T14:00:18Z,2026-09-09T14:00:16Z,NA,NA,NA,,,,,
at://did:plc:w5pxbmkjntxfw6mt4emennhv/app.bsky.feed.post/3mv3p3ve7kn25,bafyreigx4u65pu6jjxbjuvy3sv3nr2dr32f3ng6snqvs6ajxuxho5nlqjy,thestar.com,Toronto Star,"Jimmy Kimmel mocked Trump’s claim that Canada is “one of the worst countries in the world to deal with,” adding, “you know, they’re very difficult people, the Canadians. Michael J. Fox, an absolute monster. Don’t even get me started on Martin Short.” #cdnpoli",,,,1,4,19,1,1,2026-09-09T13:59:49Z,2026-09-09T13:59:47Z,NA,NA,NA,,,,,
at://did:plc:fw7nfyu73qekvpkioowgugpy/app.bsky.feed.post/3mv3p25ei322q,bafyreifgnlv6w7gawbwossjza4cezlo7nbyfi7glafntsjnfelav2em2ji,raedeeton.bsky.social,Rae Deeton,Is Pete Hoekstra really attending the 9/11 Rememberence in Gander? #cdnpoli,,,,0,0,0,0,0,2026-09-09T13:58:50Z,2026-09-09T13:58:50Z,NA,NA,NA,,,,,
at://did:plc:deej5pakczvmljahhvrridlp/app.bsky.feed.post/3mv3ozhrawk2i,bafyreigbtheyuavprdpmnablm2btfnlmvasjpbsx55jpvkfir7ekwxbdxq,pat112.bsky.social,Pat,"The argument that economic sanctions of any kind against the Jewish State was an atavistic attack on all Jews has been a central part of Israel’s external policies for years.

Israel puts a targeton  Jews to use as a shield against truth

#Cdnpoli #Uspoli #UK 
www.msn.com/en-ca/news/o...",,,,0,1,0,0,0,2026-09-09T13:58:29Z,2026-09-09T13:58:27Z,NA,NA,NA,,,,,
at://did:plc:vnbmyyysx3snbr542m7a3bbi/app.bsky.feed.post/3mv3oys53jc2u,bafyreihglt6m3fozop3pak4rccw3kwplcx4rceq5tedk6nfgxweed52mey,chillywhillynl.bsky.social,Keith Fillier,#trump banning Canadian booze won't help his popularity. Americans won't enjoy drinking their own beer. #GoCanada #elbowsup #uspoli #cdnpoli #nlpoli,,,,0,0,2,0,1,2026-09-09T13:58:04Z,2026-09-09T13:58:04Z,NA,NA,NA,,,,,
at://did:plc:xqtq2epo4hd3edw7paifjzcv/app.bsky.feed.post/3mv3on4g22s26,bafyreid3hy57tgh3ur3ik63j33ycdtarcz7vpiyszc2fosbyiw4fkdhghm,jujubee76.bsky.social,🇨🇦🍁Jujubee76🇨🇦🍁part owner of Canada🍁🇨🇦,"😂😂😂👌🏿👌🏿👌🏿
Again I ask…who’s the one who keeps on yipping and yipping?! NOT CANADA!
Jon Stewart nails it! 👇🏿👇
#uspoli #cdnpoli #abpoli #teamcanadaforever 
❤️🇨🇦🍁❤️

youtu.be/rDZ_gaUQab4?...",,,,0,1,0,0,0,2026-09-09T13:51:34Z,2026-09-09T13:51:32Z,NA,NA,NA,,,,,
at://did:plc:z4chll7ppkzcaearqfhpnczq/app.bsky.feed.post/3mv3oie3gr22n,bafyreifrwbnazi4ewbyzlxplgusqn6rmtwfqozkftj4rgruqtwwznfsexq,modernmaven.bsky.social,Modern Maven,"Shop Canada, or other countries other than the US. Let's keep the momentum going. As other markets open up to Canadians, more opportunities are coming to fruition. So fortunate to be Canadian in this modern world. Canada = Integrity. Many business quietly did the shift a couple years ago. #cdnpoli",,,,0,0,0,0,0,2026-09-09T13:49:01Z,2026-09-09T13:48:53Z,NA,NA,NA,,,,,
at://did:plc:e2gatef4rgurutqokoorvrpa/app.bsky.feed.post/3mv3ocuczcs2c,bafyreigfxjz4xajusotbuubgmtyslsxg647s7wubos5o3grhjmu34ri6aa,karenatsharon.bsky.social,,www.thestar.com/opinion/cont... Smith is in the pocket of Big Oil. The Iran War has just got her out of a $2 billion hole and now she has a surplus. She would do anything to keep rhe oil gods happy. Including breaking up Canada. #cdnpoli,,,,0,0,3,0,0,2026-09-09T13:45:51Z,2026-09-09T13:45:48Z,NA,NA,NA,,,,,
at://did:plc:jeuzjfwsgn62xfoe7qo4jul5/app.bsky.feed.post/3mv3ocqb7yk2r,bafyreid23cnhdkxj2feco3fzbg5fy6amnn6apthjmts6nuhqtztyc2ulu4,bigclimate.bsky.social,Bentley ****TALK CLIMATE****,"If you're one of those people. that think the billionaires will save us, #MarkCarney is the leader for you #cdnpoli  www.desmog.com/2025/12/08/m...",,,,0,1,2,0,0,2026-09-09T13:45:46Z,2026-09-09T13:45:44Z,NA,NA,NA,,,,,
at://did:plc:h2spa3l463coxycuy6iiov2l/app.bsky.feed.post/3mv3nydoqgc2m,bafyreibi4znvostygc5p2ouhv7yftxojrs2hei6ryx6xovycsrvh57zfla,shewandersferal.bsky.social,Allison Moon 🌙  🍁,"#FuckNazis

@davidebybc.bsky.social
@charlieangus104.bsky.social 
@arlenedickinson.bsky.social 
@deadder.bsky.social 
@todmaffin.com 
@lisab0923.bsky.social @minibubbly.bsky.social 
@underthedesknews.bsky.social 
@strombo.bsky.social 

🍁 #CANpoli 🍁 #CDNpoli 🍁  #CanadaSky 🌌 #Canadiana",,,,0,0,1,0,0,2026-09-09T13:39:56Z,2026-09-09T13:39:55Z,at://did:plc:g2etkgo54mymirahunukhwkf/app.bsky.feed.post/3mv3nlzsmfc22,at://did:plc:g2etkgo54mymirahunukhwkf/app.bsky.feed.post/3mv3nlzsmfc22,at://did:plc:h2spa3l463coxycuy6iiov2l/app.bsky.feed.post/3mv3nf6mqzs2m,,,,,
at://did:plc:llmnwoetowmrgevfd5xmtwuj/app.bsky.feed.post/3mv3nxekrdc2i,bafyreidsgmdlocj3rvk6absuqp2kuvxcdqyvzt4s3redxrlr4xb76o552y,wickedwitchofpnw.bsky.social,The Bog Witch 🇨🇦,"What do you call it when Israel rolls up and publically accuses the Canadian gov't of election interference, support for Hamas and rampant anti-semitism?  #cdnpoli #Israel #Palestine",,,,0,0,0,0,0,2026-09-09T13:39:24Z,2026-09-09T13:39:23Z,NA,NA,NA,,,,,
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mv3nvjkxka2q,bafyreihipxszaqmmsbvkc4fsmlzodec73h4txieefuxuwfuoou4jzlw4tq,ccf-observatory.bsky.social,CCF · The Climate Journal / Le Journal du climat,"🗺️ Today's map — the communities touched by climate news.

📬 The Climate Journal every morning: subscribe to the newsletter
🔁 Repost the thread to help the observatory reach further.
Summaries written by our models; excerpts quoted under fair dealing.

#ClimateChange #cdnpoli",,,,0,0,0,0,0,2026-09-09T13:38:21Z,NA,at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mv3nvjhige2s,at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mv3nvh22d52i,NA,,,,,
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mv3nvh22d52i,bafyreicy7cc65njt6a7z2vj4z3pn46dx5uohaipbnb2aa2swtisduwahim,ccf-observatory.bsky.social,CCF · The Climate Journal / Le Journal du climat,"🌍 The Climate Journal · Wednesday, September 9 🧵

200 millimetres of rain hit Cape Breton as violent storms devastate Canada. Meanwhile, Ontario moves to cut Toronto bike lanes and Nova Scotia pivots to sustainable aviation fuel.

#ClimateChange #Canada #cdnpoli",,,,1,0,0,0,0,2026-09-09T13:38:18Z,NA,NA,NA,NA,,,,,
at://did:plc:lqq35ba2t7o4rbk5hv74j2lh/app.bsky.feed.post/3mv3nvclr6m2f,bafyreie4ope2jqcnzgwzvw3ygxxhf5eawlmfurxujwgxoc6tj52uyc6fli,ccf-observatory.bsky.social,CCF · The Climate Journal / Le Journal du climat,"🌍 Le Journal du climat · mercredi 9 septembre 🧵

Plus de 200 mm de pluie ont ravagé le Cap-Breton. Entre tornades en Ontario et pannes massives au Manitoba, le Canada subit une vague d’événements météo extrêmes violents.

#Climat #Canada #cdnpoli",,,,1,0,0,0,0,2026-09-09T13:38:14Z,NA,NA,NA,NA,,,,,
at://did:plc:ed63zp3ko7gvx6cfpxko45mo/app.bsky.feed.post/3mv3nq6bsos26,bafyreiac3smc6ubzmhax57haok7ueffruu3c3xvl3xzx4xkozjhyc4w5fi,heathermoandco.bsky.social,Heather e^-1/x^2,"Canada has become on the vanguard of battling Trumpism. Unfortunately there are many traitors in our midst, like #DanielleSmith & her treacherous cohorts pushing #AlbertaSeparation …which the Trump regime is very much involved in. 

We all need to recognize the moment we’re in. 
#cdnpoli #ableg",,,,0,6,11,0,0,2026-09-09T13:35:22Z,2026-09-09T13:35:21Z,at://did:plc:ed63zp3ko7gvx6cfpxko45mo/app.bsky.feed.post/3mv3mpi3wp226,at://did:plc:ed63zp3ko7gvx6cfpxko45mo/app.bsky.feed.post/3mv3mpi3wp226,NA,,,,,
at://did:plc:gva6uzmzlyxlecg7jlzozzfs/app.bsky.feed.post/3mv3nkdaam22h,bafyreicxw72f37wcujvpbrcn7akbrkw3xjkdwpwq3e2xj22ane2ik6j55e,jamiemackinnon.bsky.social,Jamie MacKinnon🇨🇦,"""Alberta is the only province where real wages (after inflation) have fallen since 2019, instead of rising as they should.""

Why? Businesses that kept 
cutting real wages for their workers, and ""a provincial government which does business’s bidding ...""

/2

#ABpoli
#cdnpoli

afl.org/wp-content/u...",,,,1,0,1,0,0,2026-09-09T13:32:06Z,2026-09-09T13:32:05Z,NA,NA,NA,,,,,
at://did:plc:h2spa3l463coxycuy6iiov2l/app.bsky.feed.post/3mv3njqewws2m,bafyreie5hryqyxtx6fbszppqg5soiro7uwd2fxs6a4arkregpn3albk6oa,shewandersferal.bsky.social,Allison Moon 🌙  🍁,"#Ukraine
🇺🇦 #SlavaUkraini

🍁 #CANpoli 🍁 #CDNpoli 🍁  #CanadaSky 🌌 #Canadiana",,,,0,0,0,0,0,2026-09-09T13:31:48Z,2026-09-09T13:31:45Z,at://did:plc:nyjm4ylfid2a7mjm6varxuiq/app.bsky.feed.post/3mv3ly2ulr226,at://did:plc:nyjm4ylfid2a7mjm6varxuiq/app.bsky.feed.post/3mv3ly2ulr226,NA,,,,,
at://did:plc:abt5tpb7lqr7vopkrkwfswwq/app.bsky.feed.post/3mv3nizllpv2v,bafyreieqdcf4o67abvlxoqcznuxh3ya7xavfifztcs76gttx2ugeu4yiuq,canadareport.org,Canada Report,"The Royal Society of Canada Announces its 2026 Class of Fellows and College Members

Canada’s fastest news scan: 25+ headlines, no clutter, updated all day: CanadaReport.org

#cdnpoli #Canada #News #Business #Economy 
Read Original Article 🔗",,,,0,0,0,0,0,2026-09-09T13:31:22Z,NA,NA,NA,NA,,,,,
