uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:3gqcsf6kly6scabus7eqtw2k/app.bsky.feed.post/3lzjallhyvc2y,bafyreigma24qsbicgl6whbyeh5ktrg4nhzncfbsppohfny3a323b4d4jl4,inthewoodshop.bsky.social,,#ElbowsUp #RESIGNSMITH #NeverUCP #NeverSmith #DanielleSmithlsUnfitToLead #Ableg #Abpoli #Cdnpoli #ABResistance #UCPfail,,,,0,0,0,0,2025-09-23T15:32:03Z,at://did:plc:3l6h5tayy6vycige2igmorv4/app.bsky.feed.post/3lzhdbjtht22f,at://did:plc:3l6h5tayy6vycige2igmorv4/app.bsky.feed.post/3lzhdbjtht22f,NA,,,,,
at://did:plc:rwnu34psd6ohjmbja257ttcy/app.bsky.feed.post/3lzjaexuqa222,bafyreihz5hufd67bppi2jybpkf642fiqzrm6kf2rgzwazignkhfhenayja,teachac.bsky.social,,"not their gov’t. I was just there and ppl are scared and traumatized and your decision is putting them even more at risk. Also, Hamas will have no reason to negotiate now. So you have also lessened the chance that the tortured hostages will come home. #hamas #hamasterrorists #canpoli #cdnpoli",,,,0,0,0,0,2025-09-23T15:28:18Z,at://did:plc:rwnu34psd6ohjmbja257ttcy/app.bsky.feed.post/3lzjaeuex3c22,at://did:plc:rwnu34psd6ohjmbja257ttcy/app.bsky.feed.post/3lzjaeuex3c22,NA,,,,,
at://did:plc:3l6h5tayy6vycige2igmorv4/app.bsky.feed.post/3lzjadx5lgs27,bafyreieflvdjfkj4sstbl2dyhxiikhmyuqahuh4qmk3vbf5lwrgwv5bqjq,minibubbly.bsky.social,Cheryl in Nova Scotia 🇨🇦🍁🍁,"Future Forward: Shaping Public Policy in Canada - September 23, 2025 #Canada #cdnpoli

www.cpac.ca/public-recor...",,,,0,1,5,0,2025-09-23T15:27:45Z,NA,NA,NA,,,,,
